brand,price,Kondisi,TahunKendaraan,Kilometer,Warna,Transmisi,JumlahGir,Pintu,KapasitasKursi,Dirakit,EngineCC,Baut(mm),Struk(mm),TenagaPuncak(hp),TenagaPutaranPuncak(Nm),InjeksiLangsung,Aspirasi,TipeBahanBakar,RadiusPutar,Panjang(mm),Lebar(mm),Tinggi(mm),JarakRoda(mm),ThreadDepan,ThreadBelakang,KonsumsiBahanBakar(L/100km),BeratKosong(kg),RasioKompresi,EmisiCO2,0-100km/jam(detik),KecepatanTertinggi(km/jam)
Mitsubishi,270900000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4595,1750,1750,,,,,,,,,
Suzuki,212400000,Mobil Baru,2024,0 - 5K km,Lainnya,Automatic,4,5,5,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,3990,1745,1485,2520,1505,1510,4.5,,,,,
Lexus,245000000,Mobil Bekas,2009,110000 km,Abu-abu,Automatic,6,5,5,Complete Built Up (CBU),3456,,,272,342,Multi-Point Injection,Aspirated,Pertamax,,4770,1885,1685,2740,,,10.7,1835,,250,,
Honda,299000000,Mobil Bekas,2016,69000 km,Putih,Automatic,5,5,5,Complete Knock Down (CKD),2354,,,188,222,Multi-Point Injection,Aspirated,Pertamax,,4595,1820,1685,2620,1580,1580,8.4,1560,,196,,
Honda,780100000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,,5,5,Complete Built Up (CBU),1993,81,96.7,204,335,Multi-Point Injection,Aspirated,Pertamax,,4691,1866,1681,2701,1611,1627,,,13.9,,,
Honda,243100000,Mobil Baru,2024,0 - 5K km,Kuning,Automatic,,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3815,1680,1485,2405,1475,1460,,,10.1,,,
Honda,220100000,Mobil Baru,2023,0 - 5K km,Orange,Automatic,,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3815,1680,1485,2405,1475,1460,,,10.1,,,
Honda,559800000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,,4,5,Complete Built Up (CBU),1498,73,89.5,176,240,Direct Injection,Turbocharged,Pertamax,11.3,4678,1802,1415,2735,1547,1575,,1284,10.3,,,
Honda,220100000,Mobil Baru,2023,0 - 5K km,Orange,Manual,5,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3815,1680,1485,2405,1475,1460,,,10.1,,,
Honda,799100000,Mobil Baru,2024,0 - 5K km,Merah,Automatic,,5,5,Complete Built Up (CBU),1993,81,96.7,204,335,Multi-Point Injection,Aspirated,Pertamax,,4691,1866,1681,2701,1611,1627,,,13.9,,,
Honda,799100000,Mobil Baru,2024,0 - 5K km,Merah,Automatic,,5,5,Complete Built Up (CBU),1993,81,96.7,204,335,Multi-Point Injection,Aspirated,Pertamax,,4691,1866,1681,2701,1611,1627,,,13.9,,,
Honda,163000000,Mobil Bekas,2015,116000 km,Hitam,Automatic,,5,5,Complete Built Up (CBU),1497,73,89.4,118,145,Multi-Point Injection,Aspirated,Pertamax,10.6,4442,1694,1477,2600,1476,1465,5.8,1065,10.3,132,,
Honda,243100000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3815,1680,1485,2405,1475,1460,,,10.1,,,
Honda,187000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3800,1680,1485,2405,1480,1465,,,10.1,,,
Honda,230000000,Mobil Baru,2023,- km,Orange,Manual,5,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3815,1680,1485,2405,1475,1460,,,10.1,,,
Suzuki,134640000,Mobil Baru,2023,0 - 5K km,Lainnya,Automatic,5,5,4,Complete Built Up (CBU),998,73,79.5,67,90,Multi-Point Injection,Aspirated,Pertamax,,3565,1520,1549,2380,1315,1320,,,11,,,
Suzuki,550000000,Mobil Baru,2024,0 - 5K km,Lainnya,Automatic,4,5,4,Complete Built Up (CBU),1462,74,85,101,130,Multi-Point Injection,Aspirated,Pertamax,11.4,3965,1645,1720,2590,1395,1405,,,,,,
Suzuki,232035000,Mobil Baru,2024,0 - 5K km,Lainnya,Automatic,4,5,7,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Suzuki,125500000,Mobil Baru,2023,0 - 5K km,Lainnya,Manual,5,2,3,Complete Knock Down (CKD),1462,74,85,96,135,Multi-Point Injection,Aspirated,Pertamax,8.8,4195,1675,1870,2205,1345,1330,,,,,,
Mitsubishi,257000000,Mobil Bekas,2022,15 - 20K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4595,1750,1750,,,,,,,,,
Suzuki,246995000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1462,,,103,138,Multi-Point Injection,Aspirated,Pertamax,10.4,4395,1735,1690,2740,,,,,10.5,,,
Toyota,139000000,Mobil Bekas,2021,36905 km,Hitam,Automatic,4,5,5,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,3660,1600,1520,2450,1420,1415,,,,,,
Suzuki,168000000,Mobil Baru,2024,0 - 5K km,Lainnya,Automatic,5,5,5,Complete Built Up (CBU),1197,73,71.5,82,113,Multi-Point Injection,Aspirated,Pertamax,9.4,3700,1690,1595,2435,1460,1470,5,860,11,,,
Suzuki,364400000,Mobil Baru,2023,- km,Hitam,Automatic,6,5,5,Complete Built Up (CBU),1462,74,85,3,137,Multi-Point Injection,Aspirated,Pertamax,10.8,4345,1795,1645,2600,1530,1535,,1210,,,,
Suzuki,274800000,Mobil Baru,2024,- km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1462,,,103,138,Multi-Point Injection,Aspirated,Pertamax,10.4,4395,1735,1690,2740,,,,,10.5,,,
Suzuki,290200000,Mobil Baru,2024,- km,Putih,Automatic,4,5,7,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Suzuki,243400000,Mobil Baru,2024,- km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Suzuki,290200000,Mobil Baru,2024,- km,Hitam,Automatic,4,5,7,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Mazda,673300000,Mobil Baru,2024,- km,Hitam,Automatic,6,5,5,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11,4550,1840,1680,2700,1595,1595,,1604,13,,,
Hyundai,90000000,Mobil Bekas,2012,14000 km,Hitam,Manual,5,4,5,Complete Knock Down (CKD),1495,75.5,83.5,90,130,Multi-Point Injection,Aspirated,Pertamax,,4215,1630,1395,2440,1435,1425,,973,10,,,
Daihatsu,134000000,Mobil Bekas,2023,3744 km,Hitam,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,4070,1655,1600,2525,1470,1475,4.2,985,,,,
Mazda,628300000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,6,5,5,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11,4550,1840,1680,2700,1595,1595,,1623,13,,,
Hyundai,321400000,Mobil Baru,2024,0 - 5K km,Abu-abu,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Hyundai,321400000,Mobil Baru,2024,0 - 5K km,Silver,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Honda,253100000,Mobil Baru,2024,- km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3815,1680,1485,2405,1475,1460,,,10.1,,,
Mazda,672300000,Mobil Baru,2024,0 - 5K km,Merah,Automatic,6,5,5,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11,4550,1840,1680,2700,1595,1595,,1620,13,,,
Honda,243500000,Mobil Baru,2024,- km,Hitam,Manual,5,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3815,1680,1485,2405,1475,1460,,,10.1,,,
Suzuki,125500000,Mobil Baru,2023,0 - 5K km,Putih,Manual,5,2,3,Complete Knock Down (CKD),1462,74,85,96,135,Multi-Point Injection,Aspirated,Pertamax,8.8,4195,1675,1870,2205,1345,1330,,,,,,
Honda,198300000,Mobil Baru,2024,- km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3800,1680,1485,2405,1480,1465,,,10.1,,,
Hyundai,374000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Suzuki,125500000,Mobil Baru,2023,0 - 5K km,Putih,Manual,5,2,3,Complete Knock Down (CKD),1462,74,85,96,135,Multi-Point Injection,Aspirated,Pertamax,8.8,4195,1675,1870,2205,1345,1330,,,,,,
Honda,182800000,Mobil Baru,2024,- km,Putih,Manual,5,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3800,1680,1485,2405,1480,1465,,,10.1,,,
Mercedes-Benz,1095000000,Mobil Baru,2023,- km,Abu-abu,Automatic,7,5,5,Complete Built Up (CBU),1332,,,163,250,Direct Injection,Turbocharged,Pertamax,,4436,2020,1605,,,,6,1485,10.6,137,8.7,210
Suzuki,125500000,Mobil Baru,2023,0 - 5K km,Putih,Manual,5,2,3,Complete Knock Down (CKD),1462,74,85,96,135,Multi-Point Injection,Aspirated,Pertamax,8.8,4195,1675,1870,2205,1345,1330,,,,,,
Mercedes-Benz,2185000000,Mobil Baru,2023,- km,Merah,Automatic,8,4,5,Complete Built Up (CBU),1991,,,416,500,Direct Injection,Turbocharged,Pertamax,,4693,1857,1409,2729,1604,1585,8.9,1687,8.6,202,4,270
Hyundai,374000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Mercedes-Benz,1300000000,Mobil Baru,2023,- km,Putih,Automatic,7,4,5,Complete Built Up (CBU),1991,,,302,400,Direct Injection,Turbocharged,Pertamax,11.5,4559,1796,1411,2729,1573,1573,7.6,1570,10,167,4.8,250
Mercedes-Benz,7575000000,Mobil Baru,2023,- km,Abu-abu,Automatic,9,5,5,Complete Built Up (CBU),3982,,,577,850,Direct Injection,Turbocharged,Pertamax,13.5,4873,1984,1966,2890,1657,1652,13.1,2560,8.6,299,4.5,220
Mazda,672300000,Mobil Baru,2024,0 - 5K km,Abu-abu,Automatic,6,5,5,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11,4550,1840,1680,2700,1595,1595,,1620,13,,,
Hyundai,374000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Hyundai,675000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,6,5,7,Complete Built Up (CBU),2497,88.5,101.5,177,232,Multi-Point Injection,Aspirated,Pertamax,,4785,1900,1710,2765,1646,1656,,1776,10.5,,10.1,
Hyundai,675000000,Mobil Baru,2024,0 - 5K km,Silver,Automatic,6,5,7,Complete Built Up (CBU),2497,88.5,101.5,177,232,Multi-Point Injection,Aspirated,Pertamax,,4785,1900,1710,2765,1646,1656,,1776,10.5,,10.1,
Hyundai,374000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Hyundai,800000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,8,5,7,Complete Built Up (CBU),2199,,,198,440,Direct Injection,Turbocharged,Solar,,4995,1975,1750,2900,1708,1716,,1884,,,,
Hyundai,370000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Hyundai,749000000,Mobil Baru,2023,0 - 5K km,Silver,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Hyundai,920000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,8,5,7,Complete Built Up (CBU),2199,,,198,440,Direct Injection,Turbocharged,Solar,,4995,1975,1750,2900,1708,1716,,1884,,,,
Hyundai,374000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Hyundai,749000000,Mobil Baru,2023,0 - 5K km,Abu-abu,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Hyundai,755000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Hyundai,920000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,8,5,7,Complete Built Up (CBU),2199,,,198,440,Direct Injection,Turbocharged,Solar,,4995,1975,1750,2900,1708,1716,,1884,,,,
Suzuki,250000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,4,5,5,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,3990,1745,1485,2520,1505,1510,4.5,,,,,
Hyundai,749000000,Mobil Baru,2023,0 - 5K km,Silver,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Hyundai,755000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Hyundai,755000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Daihatsu,128000000,Mobil Bekas,2022,5516 km,Abu-abu,Manual,5,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,4070,1655,1600,2525,1470,1475,4,965,,,,
Hyundai,716000000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,8,5,7,Complete Built Up (CBU),2151,83,99.4,200,440,Direct Injection,Turbocharged,Solar,,4785,1900,1710,2765,1646,1656,,1872,16,,9,
Suzuki,310000000,Mobil Baru,2023,0 - 5K km,Silver,Automatic,6,5,5,Complete Built Up (CBU),1462,74,85,3,137,Multi-Point Injection,Aspirated,Pertamax,10.8,4345,1795,1645,2600,1530,1535,,1210,,,,
Daihatsu,116000000,Mobil Bekas,2017,50 - 55K km,Merah,Automatic,4,5,5,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,3660,1600,1520,2450,1420,1415,,880,,,,
Mazda,572200000,Mobil Baru,2024,0 - 5K km,Abu-abu,Automatic,6,5,5,Complete Built Up (CBU),1998,83.5,91.2,153,200,Direct Injection,Aspirated,Pertamax,10.6,4395,1795,1540,2655,1565,1565,,1453,13,,,
Mazda,350000000,Mobil Bekas,2017,40 - 45K km,Merah,Automatic,6,5,5,Complete Built Up (CBU),2488,89,100,188,251,Direct Injection,Aspirated,Pertamax,,4550,1840,1680,2700,1595,1595,,1548,13,,,
Mitsubishi,199000000,Mobil Bekas,2018,105 - 110K km,Abu-abu,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4475,1750,1700,2275,,,,,,,,
Hyundai,660000000,Mobil Baru,2023,0 - 5K km,Silver,Automatic,6,5,7,Complete Built Up (CBU),2497,88.5,101.5,177,232,Multi-Point Injection,Aspirated,Pertamax,,4785,1900,1710,2765,1646,1656,,1776,10.5,,10.1,
Hyundai,755000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Honda,249000000,Mobil Bekas,2021,45 - 50K km,Abu-abu,Automatic,,5,5,Complete Knock Down (CKD),1498,73,89.4,119,145,Multi-Point Injection,Aspirated,Pertamax,10,4349,1748,1488,2600,1495,1483,,,10.6,,,
Suzuki,230000000,Mobil Baru,2023,0 - 5K km,Abu-abu,Automatic,4,5,7,Complete Knock Down (CKD),1462,,,103,138,Multi-Point Injection,Aspirated,Pertamax,10.4,4395,1735,1690,2740,,,,,10.5,,,
Hyundai,715000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,8,5,7,Complete Built Up (CBU),2151,83,99.4,200,440,Direct Injection,Turbocharged,Solar,,4785,1900,1710,2765,1646,1656,,1872,16,,9,
Suzuki,250000000,Mobil Baru,2023,0 - 5K km,Lainnya,Automatic,4,5,7,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Hyundai,715000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,8,5,7,Complete Built Up (CBU),2151,83,99.4,200,440,Direct Injection,Turbocharged,Solar,,4785,1900,1710,2765,1646,1656,,1872,16,,9,
Suzuki,150000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,5,5,4,Complete Built Up (CBU),998,73,79.5,67,90,Multi-Point Injection,Aspirated,Pertamax,,3565,1520,1549,2380,1315,1320,,,11,,,
Hyundai,948500000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,8,5,7,Complete Built Up (CBU),2199,,,198,440,Direct Injection,Turbocharged,Solar,,4995,1975,1750,2900,1708,1716,,1884,,,,
Hyundai,948500000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,8,5,7,Complete Built Up (CBU),2199,,,198,440,Direct Injection,Turbocharged,Solar,,4995,1975,1750,2900,1708,1716,,1884,,,,
Hyundai,948500000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,8,5,7,Complete Built Up (CBU),2199,,,198,440,Direct Injection,Turbocharged,Solar,,4995,1975,1750,2900,1708,1716,,1884,,,,
Hyundai,800000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,8,5,7,Complete Built Up (CBU),2199,,,198,440,Direct Injection,Turbocharged,Solar,,4995,1975,1750,2900,1708,1716,,1884,,,,
Hyundai,200000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4460,1780,1695,2780,,,,1272,10.5,,,
Hyundai,675000000,Mobil Baru,2024,0 - 5K km,Hitam,Automatic,6,5,7,Complete Built Up (CBU),2497,88.5,101.5,177,232,Multi-Point Injection,Aspirated,Pertamax,,4785,1900,1710,2765,1646,1656,,1776,10.5,,10.1,
Suzuki,250000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,4,5,5,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,3990,1745,1485,2520,1505,1510,4.5,,,,,
Hyundai,675000000,Mobil Baru,2024,0 - 5K km,Silver,Automatic,6,5,7,Complete Built Up (CBU),2497,88.5,101.5,177,232,Multi-Point Injection,Aspirated,Pertamax,,4785,1900,1710,2765,1646,1656,,1776,10.5,,10.1,
Suzuki,475000000,Mobil Baru,2023,0 - 5K km,Hijau,Automatic,4,3,4,Complete Built Up (CBU),1462,74,85,101,130,Multi-Point Injection,Aspirated,Pertamax,9.7,3625,1645,1720,2250,1395,1405,,1100,,,,
Hyundai,307000000,Mobil Baru,2024,0 - 5K km,Silver,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Suzuki,175000000,Mobil Baru,2023,0 - 5K km,Orange,Automatic,5,5,5,Complete Built Up (CBU),1197,73,71.5,82,113,Multi-Point Injection,Aspirated,Pertamax,9.4,3700,1690,1595,2435,1460,1470,5,860,11,,,
Hyundai,307000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Hyundai,370000000,Mobil Baru,2024,0 - 5K km,Abu-abu,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Hyundai,370000000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Hyundai,250000000,Mobil Baru,2024,0 - 5K km,Abu-abu,Automatic,,5,7,Complete Knock Down (CKD),1497,75.6,83.4,113,144,Multi-Point Injection,Aspirated,Pertamax,,4495,1815,1710,2780,,,,,10.5,,,
Toyota,370000000,Mobil Baru,2024,- km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1496,72.5,90.6,79,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4310,1770,1615,2620,,,,,,,,
Toyota,213700000,Mobil Baru,2024,- km,Silver,Automatic,,5,7,Complete Knock Down (CKD),1329,72.5,80.5,97,122,Multi-Point Injection,Aspirated,Pertamax,9.8,4395,1730,1665,2750,1515,1510,,,,,,
Mercedes-Benz,1850000000,Mobil Bekas,2021,10000 km,Hitam,Automatic,9,5,7,Complete Built Up (CBU),2999,,,362,500,Direct Injection,Turbocharged,Pertamax,,5213,2157,1823,3135,1728,1709,9.2,2440,10.5,210,6.2,246
Daihatsu,149100000,Mobil Baru,2023,- km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,4070,1655,1600,2525,1470,1475,4.2,990,,,,
Daihatsu,149100000,Mobil Baru,2023,- km,Putih,Manual,5,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,4070,1655,1600,2525,1470,1475,4,965,,,,
Daihatsu,149100000,Mobil Baru,2023,- km,Putih,Manual,5,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,4070,1655,1600,2525,1470,1475,4,965,,,,
Daihatsu,149100000,Mobil Baru,2023,- km,Hitam,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,4070,1655,1600,2525,1470,1475,4.2,990,,,,
Daihatsu,149100000,Mobil Baru,2023,- km,Abu-abu,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,4070,1655,1600,2525,1470,1475,4.2,990,,,,
Daihatsu,149100000,Mobil Baru,2023,- km,Hitam,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,4070,1655,1600,2525,1470,1475,4.2,990,,,,
Daihatsu,223650000,Mobil Baru,2023,- km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1329,72.5,80.5,97,122,Multi-Point Injection,Aspirated,Pertamax,9.8,4395,1730,1690,2750,1515,1510,,1115,,,,
Honda,172000000,Mobil Bekas,2020,45 - 50K km,Merah,Automatic,,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3815,1680,1485,2405,1475,1460,,,10.1,,,
Nissan,196000000,Mobil Bekas,2019,45 - 50K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,,4510,1750,1700,2775,,,,,10.5,,,
Mazda,260000000,Mobil Bekas,2017,15 - 20K km,Putih,Automatic,6,5,5,Complete Built Up (CBU),1998,83.5,91.2,146,192,Direct Injection,Aspirated,Pertamax,10.6,4275,1765,1535,2570,1525,1520,6.1,1279,13,146,9.5,192
Toyota,90000000,Mobil Bekas,2015,50 - 55K km,Silver,Automatic,4,5,5,Complete Knock Down (CKD),998,71,84,64,86,Multi-Point Injection,Aspirated,Pertamax,,3600,1620,1520,2450,1410,1405,,800,,,,
Toyota,278000000,Mobil Bekas,2011,100 - 105K km,Hitam,Automatic,7,5,7,Complete Built Up (CBU),2362,88.5,96,168,220,Multi-Point Injection,Aspirated,Pertamax,11.8,4850,1830,1890,2950,1570,1575,9.4,1950,9.6,218,,
Toyota,278000000,Mobil Bekas,2011,100 - 105K km,Hitam,Automatic,7,5,7,Complete Built Up (CBU),2362,88.5,96,168,220,Multi-Point Injection,Aspirated,Pertamax,11.8,4850,1830,1890,2950,1570,1575,9.4,1950,9.6,218,,
Suzuki,140000000,Mobil Bekas,2020,10 - 15K km,Merah,Automatic,5,5,5,Complete Built Up (CBU),1197,73,71.5,82,113,Multi-Point Injection,Aspirated,Pertamax,9.4,3700,1690,1595,2435,1460,1470,5,860,11,,,
Toyota,353000000,Mobil Bekas,2016,85 - 90K km,Coklat,Automatic,6,5,7,Complete Knock Down (CKD),2393,92,90,147,400,Direct Injection,Turbocharged,Solar,11.6,4795,1855,1835,2745,1545,1555,,2110,,,,
Toyota,210000000,Mobil Bekas,2021,10 - 15K km,Hitam,Automatic,7,4,5,Complete Knock Down (CKD),1496,72.5,90.5,106,140,Multi-Point Injection,Aspirated,Pertamax,10.2,4425,1730,1500,2550,,,,,,,,
Honda,143000000,Mobil Bekas,2019,55 - 60K km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3800,1680,1485,2405,1480,1465,,,10.1,,,
Honda,121000000,Mobil Bekas,2017,55 - 60K km,Hitam,Automatic,5,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3640,1680,1485,2345,1480,1465,,960,,,,
Honda,220000000,Mobil Bekas,2018,35 - 40K km,Merah,Automatic,,5,5,Complete Knock Down (CKD),1497,73,89.4,118,145,Multi-Point Injection,Aspirated,Pertamax,,4035,1694,1524,2530,1476,1466,,1099,10.3,,,
